Id,Name,AccountId,StageName,CloseDate,Amount,Type,Probability,Description
0060000000000021,"Vertex Consulting - CRM Implementation",0010000000000005,"Closed Won","2022-04-15",110000,"New Business",100,"2022-01-10: Initial requirements gathering.
2022-01-25: System demonstration to management team.
2022-02-15: Technical evaluation completed.
2022-03-01: Proposal accepted.
2022-03-20: Implementation planning.
2022-04-15: CRM system successfully deployed."
0060000000000022,"Vertex Consulting - 40 Professional Licenses",0010000000000005,"Closed Won","2022-11-10",80000,"New Business",100,"2022-09-01: License requirements discussion.
2022-09-15: User needs assessment.
2022-10-01: Pricing proposal submitted.
2022-10-20: Contract finalized.
2022-11-10: Licenses activated."
0060000000000023,"Vertex Consulting - Business Intelligence Tools",0010000000000005,"Closed Lost","2023-05-20",125000,"New Business",0,"2023-02-15: Initial discussion about BI requirements.
2023-03-01: Tool demonstration and evaluation.
2023-03-20: Technical assessment period.
2023-04-10: Pricing concerns raised.
2023-05-01: Attempted to revise proposal.
2023-05-20: Lost to competitor with more specialized industry-specific analytics."
0060000000000024,"Vertex Consulting - 20 Licenses ADD",0010000000000005,"Closed Won","2024-01-15",40000,"Expansion",100,"2023-11-20: Request for additional licenses.
2023-12-05: User requirements confirmed.
2023-12-20: Proposal submitted and accepted.
2024-01-15: Additional licenses implemented."
0060000000000025,"Vertex Consulting - Advanced Analytics Platform",0010000000000005,"Id. Decision Makers","2025-05-05",160000,"New Business",70,"2025-02-01: Initial discussion about analytics needs.
2025-02-20: Platform demonstration to technical team.
2025-03-15: Proof of concept development.
2025-04-01: Currently identifying key decision makers for final approval."
0060000000000026,"Redwood Solutions - Property Portfolio System",0010000000000006,"Closed Won","2022-08-10",145000,"New Business",100,"2022-05-15: Initial meeting with real estate operations team.
2022-06-01: Requirements gathering sessions.
2022-06-20: System demonstration and evaluation.
2022-07-10: Proposal accepted.
2022-07-25: Implementation planning.
2022-08-10: System successfully deployed."
0060000000000027,"Redwood Solutions - 60 User Licenses",0010000000000006,"Closed Won","2023-02-15",90000,"New Business",100,"2022-12-01: License requirements discussion.
2022-12-20: User needs assessment.
2023-01-10: Pricing proposal submitted.
2023-01-30: Contract finalized.
2023-02-15: Licenses activated."
0060000000000028,"Redwood Solutions - Mobile Property Management",0010000000000006,"Closed Lost","2023-09-10",110000,"New Business",0,"2023-06-01: Initial requirements gathering for mobile app.
2023-06-20: Prototype demonstration.
2023-07-10: Technical evaluation period.
2023-08-01: Integration concerns identified.
2023-08-20: Attempted to address technical concerns.
2023-09-10: Lost due to technical compatibility issues with existing systems."
0060000000000029,"Redwood Solutions - Annual Support Renewal",0010000000000006,"Closed Won","2024-03-01",55000,"Renewal",100,"2024-01-15: Sent support renewal notification.
2024-02-01: Discussed support level options.
2024-02-15: Renewal agreement signed.
2024-03-01: Support services renewed."
0060000000000030,"Redwood Solutions - AI Property Valuation Tool",0010000000000006,"Needs Analysis","2025-06-10",195000,"New Business",40,"2025-03-15: Initial discussion about AI valuation needs.
2025-04-01: Preliminary requirements gathering.
2025-04-20: Currently conducting detailed needs analysis."
0060000000000031,"BlueWave Innovations - Patient Management System",0010000000000007,"Closed Won","2022-05-05",165000,"New Business",100,"2022-02-10: Initial meeting with healthcare operations team.
2022-02-25: Requirements gathering sessions.
2022-03-15: System demonstration and evaluation.
2022-04-01: Proposal accepted.
2022-04-20: Implementation planning.
2022-05-05: System successfully deployed."
0060000000000032,"BlueWave Innovations - 90 Clinical Licenses",0010000000000007,"Closed Won","2022-12-10",135000,"New Business",100,"2022-09-15: License requirements discussion.
2022-10-01: User needs assessment.
2022-10-20: Pricing proposal submitted.
2022-11-15: Contract finalized.
2022-12-10: Licenses activated."
0060000000000033,"BlueWave Innovations - Telehealth Integration",0010000000000007,"Closed Won","2023-06-20",120000,"New Business",100,"2023-03-10: Initial requirements gathering for telehealth.
2023-03-25: Integration architecture proposed.
2023-04-15: Technical specifications approved.
2023-05-10: Development and testing.
2023-06-20: Telehealth system successfully integrated."
0060000000000034,"BlueWave Innovations - 45 Licenses ADD",0010000000000007,"Closed Won","2024-01-30",67500,"Expansion",100,"2023-11-15: Request for additional licenses.
2023-12-01: User requirements confirmed.
2023-12-20: Proposal submitted and accepted.
2024-01-30: Additional licenses implemented."
0060000000000035,"BlueWave Innovations - AI Diagnostic Assistant",0010000000000007,"Qualification","2025-08-15",225000,"New Business",30,"2025-05-01: Initial discussion about AI diagnostic tools.
2025-05-20: Preliminary requirements gathering.
2025-06-15: Currently in qualification phase to determine fit."
0060000000000036,"Redwood Dynamics - Business Process Optimization",0010000000000008,"Closed Won","2022-07-01",95000,"New Business",100,"2022-04-10: Initial consultation meeting.
2022-04-25: Process assessment workshops.
2022-05-15: Optimization strategy presented.
2022-06-01: Proposal accepted.
2022-06-20: Implementation planning.
2022-07-01: Optimization project launched."
0060000000000037,"Redwood Dynamics - 30 Consultant Licenses",0010000000000008,"Closed Won","2023-01-15",60000,"New Business",100,"2022-10-20: License requirements discussion.
2022-11-05: User needs assessment.
2022-11-25: Pricing proposal submitted.
2022-12-15: Contract finalized.
2023-01-15: Licenses activated."
0060000000000038,"Redwood Dynamics - Change Management Program",0010000000000008,"Closed Lost","2023-08-05",85000,"New Business",0,"2023-05-01: Initial program scoping.
2023-05-20: Change management strategy presented.
2023-06-10: Stakeholder workshops conducted.
2023-07-01: Budget concerns raised.
2023-07-20: Attempted to revise program scope.
2023-08-05: Lost due to internal reorganization and shifting priorities."
0060000000000039,"Redwood Dynamics - Annual Training Package",0010000000000008,"Closed Won","2024-02-20",35000,"Renewal",100,"2024-01-05: Sent training package renewal.
2024-01-20: Discussed training needs for upcoming year.
2024-02-05: Renewal agreement signed.
2024-02-20: Training package renewed."
0060000000000040,"Redwood Dynamics - Digital Transformation Strategy",0010000000000008,"Prospecting","2025-07-01",175000,"New Business",20,"2025-05-15: Initial outreach about digital transformation.
2025-06-01: Preliminary discussion with CIO.
2025-06-20: Currently in early prospecting phase."
0060000000000041,"Northstar Corporation - Energy Management System",0010000000000009,"Closed Won","2022-09-15",155000,"New Business",100,"2022-06-10: Initial meeting with operations team.
2022-06-25: Requirements gathering sessions.
2022-07-15: System demonstration and evaluation.
2022-08-01: Proposal accepted.
2022-08-20: Implementation planning.
2022-09-15: System successfully deployed."
0060000000000042,"Northstar Corporation - 50 Operator Licenses",0010000000000009,"Closed Won","2023-03-10",75000,"New Business",100,"2022-12-15: License requirements discussion.
2023-01-05: User needs assessment.
2023-01-25: Pricing proposal submitted.
2023-02-15: Contract finalized.
2023-03-10: Licenses activated."
0060000000000043,"Northstar Corporation - Predictive Maintenance Module",0010000000000009,"Closed Lost","2023-10-05",130000,"New Business",0,"2023-07-01: Initial requirements gathering.
2023-07-20: Module demonstration and evaluation.
2023-08-10: Technical assessment period.
2023-09-01: ROI concerns raised.
2023-09-20: Attempted to revise value proposition.
2023-10-05: Lost due to competing internal projects and budget constraints."
0060000000000044,"Northstar Corporation - 25 Licenses ADD",0010000000000009,"Closed Won","2024-04-20",37500,"Expansion",100,"2024-02-15: Request for additional licenses.
2024-03-01: User requirements confirmed.
2024-03-20: Proposal submitted and accepted.
2024-04-20: Additional licenses implemented."
0060000000000045,"Northstar Corporation - Renewable Energy Integration",0010000000000009,"Proposal/Price Quote","2025-05-25",210000,"New Business",60,"2025-02-10: Initial discussion about renewable integration.
2025-03-01: Technical assessment of current systems.
2025-03-20: Integration strategy developed.
2025-04-15: Proposal submitted, awaiting customer review."
0060000000000046,"Redwood Innovations - Financial Analytics Platform",0010000000000010,"Closed Won","2022-06-20",140000,"New Business",100,"2022-03-15: Initial meeting with finance team.
2022-04-01: Requirements gathering sessions.
2022-04-20: Platform demonstration and evaluation.
2022-05-10: Proposal accepted.
2022-05-30: Implementation planning.
2022-06-20: Platform successfully deployed."
0060000000000047,"Redwood Innovations - 65 Analyst Licenses",0010000000000010,"Closed Won","2023-01-05",97500,"New Business",100,"2022-10-10: License requirements discussion.
2022-10-25: User needs assessment.
2022-11-15: Pricing proposal submitted.
2022-12-10: Contract finalized.
2023-01-05: Licenses activated."
0060000000000048,"Redwood Innovations - Risk Management Module",0010000000000010,"Closed Won","2023-07-15",110000,"New Business",100,"2023-04-05: Initial requirements gathering.
2023-04-25: Module demonstration and evaluation.
2023-05-15: Technical assessment completed.
2023-06-01: Proposal accepted.
2023-06-20: Implementation planning.
2023-07-15: Module successfully deployed."
0060000000000049,"Redwood Innovations - Annual Support Package",0010000000000010,"Closed Won","2024-01-25",55000,"Renewal",100,"2023-12-01: Sent support package renewal.
2023-12-15: Discussed support needs for upcoming year.
2024-01-10: Renewal agreement signed.
2024-01-25: Support package renewed."
0060000000000050,"Redwood Innovations - AI Investment Analysis Tool",0010000000000010,"Negotiation/Review","2025-04-10",190000,"New Business",75,"2025-01-15: Initial discussion about AI investment analysis.
2025-02-01: Tool demonstration to investment team.
2025-02-20: Technical proof of concept completed.
2025-03-10: Proposal submitted.
2025-03-25: Currently in final negotiation phase."
0060000000000051,"Crestpoint Strategies - Wealth Management Platform",0010000000000011,"Closed Won","2022-08-05",160000,"New Business",100,"2022-05-01: Initial meeting with wealth management team.
2022-05-20: Requirements gathering sessions.
2022-06-10: Platform demonstration and evaluation.
2022-07-01: Proposal accepted.
2022-07-20: Implementation planning.
2022-08-05: Platform successfully deployed."
0060000000000052,"Crestpoint Strategies - 80 Advisor Licenses",0010000000000011,"Closed Won","2023-02-10",120000,"New Business",100,"2022-11-15: License requirements discussion.
2022-12-01: User needs assessment.
2022-12-20: Pricing proposal submitted.
2023-01-15: Contract finalized.
2023-02-10: Licenses activated."
0060000000000053,"Crestpoint Strategies - Client Portal Development",0010000000000011,"Closed Lost","2023-09-15",135000,"New Business",0,"2023-06-10: Initial requirements gathering.
2023-06-30: Portal prototype demonstration.
2023-07-20: Technical assessment period.
2023-08-10: Security concerns identified.
2023-08-30: Attempted to address security issues.
2023-09-15: Lost due to unresolved compliance and security requirements."
0060000000000054,"Crestpoint Strategies - 40 Licenses ADD",0010000000000011,"Closed Won","2024-03-20",60000,"Expansion",100,"2024-01-15: Request for additional licenses.
2024-02-01: User requirements confirmed.
2024-02-20: Proposal submitted and accepted.
2024-03-20: Additional licenses implemented."
0060000000000055,"Crestpoint Strategies - Automated Financial Planning",0010000000000011,"Value Proposition","2025-06-05",215000,"New Business",50,"2025-03-10: Initial discussion about automated planning tools.
2025-03-30: Preliminary requirements gathering.
2025-04-20: Currently developing detailed value proposition."
0060000000000056,"OmniTech Ventures - Business Intelligence Implementation",0010000000000012,"Closed Won","2022-07-10",125000,"New Business",100,"2022-04-05: Initial meeting with analytics team.
2022-04-25: Requirements gathering sessions.
2022-05-15: System demonstration and evaluation.
2022-06-01: Proposal accepted.
2022-06-20: Implementation planning.
2022-07-10: BI system successfully deployed."
0060000000000057,"OmniTech Ventures - 55 Professional Licenses",0010000000000012,"Closed Won","2023-01-20",82500,"New Business",100,"2022-10-15: License requirements discussion.
2022-11-01: User needs assessment.
2022-11-20: Pricing proposal submitted.
2022-12-15: Contract finalized.
2023-01-20: Licenses activated."
0060000000000058,"OmniTech Ventures - Data Integration Project",0010000000000012,"Closed Won","2023-08-10",95000,"New Business",100,"2023-05-01: Initial requirements gathering.
2023-05-20: Integration architecture proposed.
2023-06-10: Technical specifications approved.
2023-07-01: Development and testing.
2023-08-10: Integration project successfully completed."
0060000000000059,"OmniTech Ventures - Annual Maintenance",0010000000000012,"Closed Won","2024-02-15",45000,"Renewal",100,"2023-12-20: Sent maintenance renewal notification.
2024-01-10: Discussed service level options.
2024-01-30: Renewal agreement signed.
2024-02-15: Maintenance services renewed."
0060000000000060,"OmniTech Ventures - Predictive Analytics Platform",0010000000000012,"Perception Analysis","2025-05-20",175000,"New Business",60,"2025-02-15: Initial discussion about predictive analytics.
2025-03-05: Platform demonstration to analytics team.
2025-03-25: Technical assessment initiated.
2025-04-15: Currently conducting perception analysis with stakeholders."
0060000000000061,"Vanguard Networks - Network Security Implementation",0010000000000013,"Closed Won","2022-09-01",105000,"New Business",100,"2022-06-10: Initial security assessment meeting.
2022-06-30: Requirements gathering sessions.
2022-07-20: Security solution demonstration.
2022-08-10: Proposal accepted.
2022-08-25: Implementation planning.
2022-09-01: Security system successfully deployed."
0060000000000062,"Vanguard Networks - 25 Administrator Licenses",0010000000000013,"Closed Won","2023-03-15",50000,"New Business",100,"2022-12-20: License requirements discussion.
2023-01-10: User needs assessment.
2023-01-30: Pricing proposal submitted.
2023-02-20: Contract finalized.
2023-03-15: Licenses activated."
0060000000000063,"Vanguard Networks - Cloud Migration Project",0010000000000013,"Closed Lost","2023-10-10",120000,"New Business",0,"2023-07-05: Initial requirements gathering.
2023-07-25: Migration strategy presented.
2023-08-15: Technical assessment period.
2023-09-01: Cost concerns raised.
2023-09-20: Attempted to revise scope and budget.
2023-10-10: Lost due to budget constraints and decision to postpone migration."
0060000000000064,"Vanguard Networks - 15 Licenses ADD",0010000000000013,"Closed Won","2024-04-05",30000,"Expansion",100,"2024-02-10: Request for additional licenses.
2024-02-25: User requirements confirmed.
2024-03-15: Proposal submitted and accepted.
2024-04-05: Additional licenses implemented."
0060000000000065,"Vanguard Networks - Zero Trust Security Framework",0010000000000013,"Qualification","2025-07-15",165000,"New Business",30,"2025-04-20: Initial discussion about zero trust security.
2025-05-10: Preliminary security assessment.
2025-06-01: Currently in qualification phase to determine requirements."
0060000000000066,"Everest Logistics - Supply Chain Optimization",0010000000000014,"Closed Won","2022-06-15",135000,"New Business",100,"2022-03-10: Initial consultation meeting.
2022-03-30: Process assessment workshops.
2022-04-20: Optimization strategy presented.
2022-05-10: Proposal accepted.
2022-05-30: Implementation planning.
2022-06-15: Optimization project launched."
0060000000000067,"Everest Logistics - 70 User Licenses",0010000000000014,"Closed Won","2022-12-20",105000,"New Business",100,"2022-10-01: License requirements discussion.
2022-10-20: User needs assessment.
2022-11-10: Pricing proposal submitted.
2022-12-05: Contract finalized.
2022-12-20: Licenses activated."
0060000000000068,"Everest Logistics - Warehouse Management System",0010000000000014,"Closed Won","2023-07-01",150000,"New Business",100,"2023-04-05: Initial requirements gathering.
2023-04-25: System demonstration and evaluation.
2023-05-15: Technical assessment completed.
2023-06-01: Proposal accepted.
2023-06-20: Implementation planning.
2023-07-01: System successfully deployed."
0060000000000069,"Everest Logistics - Annual Support Renewal",0010000000000014,"Closed Won","2024-01-10",65000,"Renewal",100,"2023-11-15: Sent support renewal notification.
2023-12-01: Discussed support level options.
2023-12-20: Renewal agreement signed.
2024-01-10: Support services renewed."
0060000000000070,"Everest Logistics - IoT Fleet Tracking Solution",0010000000000014,"Id. Decision Makers","2025-05-01",195000,"New Business",70,"2025-02-05: Initial discussion about fleet tracking needs.
2025-02-25: Solution demonstration to logistics team.
2025-03-15: Technical assessment initiated.
2025-04-10: Currently identifying key decision makers for final approval."
0060000000000071,"Horizon Consulting - Financial Advisory Platform",0010000000000015,"Closed Won","2022-08-20",145000,"New Business",100,"2022-05-15: Initial meeting with advisory team.
2022-06-05: Requirements gathering sessions.
2022-06-25: Platform demonstration and evaluation.
2022-07-15: Proposal accepted.
2022-08-05: Implementation planning.
2022-08-20: Platform successfully deployed."
0060000000000072,"Horizon Consulting - 60 Advisor Licenses",0010000000000015,"Closed Won","2023-02-25",90000,"New Business",100,"2022-12-01: License requirements discussion.
2022-12-20: User needs assessment.
2023-01-15: Pricing proposal submitted.
2023-02-10: Contract finalized.
2023-02-25: Licenses activated."
0060000000000073,"Horizon Consulting - Client Portfolio Analysis",0010000000000015,"Closed Lost","2023-09-30",110000,"New Business",0,"2023-06-15: Initial requirements gathering.
2023-07-05: Analysis tool demonstration.
2023-07-25: Technical assessment period.
2023-08-15: Integration challenges identified.
2023-09-10: Attempted to address technical issues.
2023-09-30: Lost due to compatibility issues with existing portfolio system."
0060000000000074,"Horizon Consulting - 30 Licenses ADD",0010000000000015,"Closed Won","2024-03-15",45000,"Expansion",100,"2024-01-10: Request for additional licenses.
2024-01-30: User requirements confirmed.
2024-02-20: Proposal submitted and accepted.
2024-03-15: Additional licenses implemented."
0060000000000075,"Horizon Consulting - AI Investment Strategy Tool",0010000000000015,"Needs Analysis","2025-06-20",185000,"New Business",40,"2025-03-25: Initial discussion about AI investment tools.
2025-04-15: Preliminary requirements gathering.
2025-05-10: Currently conducting detailed needs analysis."
0060000000000076,"Sterling Ventures - Energy Trading Platform",0010000000000016,"Closed Won","2022-07-25",115000,"New Business",100,"2022-04-20: Initial meeting with trading team.
2022-05-10: Requirements gathering sessions.
2022-05-30: Platform demonstration and evaluation.
2022-06-20: Proposal accepted.
2022-07-10: Implementation planning.
2022-07-25: Platform successfully deployed."
0060000000000077,"Sterling Ventures - 20 Trader Licenses",0010000000000016,"Closed Won","2023-01-30",40000,"New Business",100,"2022-11-05: License requirements discussion.
2022-11-25: User needs assessment.
2022-12-15: Pricing proposal submitted.
2023-01-15: Contract finalized.
2023-01-30: Licenses activated."
0060000000000078,"Sterling Ventures - Market Analysis Module",0010000000000016,"Closed Won","2023-08-15",85000,"New Business",100,"2023-05-10: Initial requirements gathering.
2023-05-30: Module demonstration and evaluation.
2023-06-20: Technical assessment completed.
2023-07-10: Proposal accepted.
2023-08-15: Module successfully implemented."
0060000000000079,"Sterling Ventures - Annual Maintenance",0010000000000016,"Closed Won","2024-02-28",35000,"Renewal",100,"2024-01-05: Sent maintenance renewal notification.
2024-01-25: Discussed service level options.
2024-02-15: Renewal agreement signed.
2024-02-28: Maintenance services renewed."
0060000000000080,"Sterling Ventures - Renewable Energy Analytics",0010000000000016,"Prospecting","2025-07-10",155000,"New Business",20,"2025-05-25: Initial outreach about renewable analytics.
2025-06-15: Preliminary discussion with analytics team.
2025-06-30: Currently in early prospecting phase."
0060000000000081,"Apex Holdings - Learning Management System",0010000000000017,"Closed Won","2022-09-10",175000,"New Business",100,"2022-06-15: Initial meeting with education team.
2022-07-05: Requirements gathering sessions.
2022-07-25: System demonstration and evaluation.
2022-08-15: Proposal accepted.
2022-08-30: Implementation planning.
2022-09-10: LMS successfully deployed."
0060000000000082,"Apex Holdings - 200 Educator Licenses",0010000000000017,"Closed Won","2023-03-01",200000,"New Business",100,"2022-12-10: License requirements discussion.
2022-12-30: User needs assessment.
2023-01-20: Pricing proposal submitted.
2023-02-15: Contract finalized.
2023-03-01: Licenses activated."
0060000000000083,"Apex Holdings - Student Portal Development",0010000000000017,"Closed Won","2023-10-15",145000,"New Business",100,"2023-07-01: Initial requirements gathering.
2023-07-20: Portal prototype demonstration.
2023-08-10: Technical assessment completed.
2023-09-01: Proposal accepted.
2023-09-30: Development and testing.
2023-10-15: Portal successfully launched."
0060000000000084,"Apex Holdings - 100 Licenses ADD",0010000000000017,"Closed Won","2024-04-10",100000,"Expansion",100,"2024-02-05: Request for additional licenses.
2024-02-25: User requirements confirmed.
2024-03-15: Proposal submitted and accepted.
2024-04-10: Additional licenses implemented."
0060000000000085,"Apex Holdings - AI Adaptive Learning Platform",0010000000000017,"Proposal/Price Quote","2025-05-15",250000,"New Business",65,"2025-02-10: Initial discussion about adaptive learning.
2025-03-01: Platform demonstration to education team.
2025-03-20: Technical assessment completed.
2025-04-15: Proposal submitted, awaiting customer review."
0060000000000086,"Everest Dynamics - Online Learning Platform",0010000000000018,"Closed Won","2022-06-30",165000,"New Business",100,"2022-03-25: Initial meeting with education team.
2022-04-15: Requirements gathering sessions.
2022-05-05: Platform demonstration and evaluation.
2022-05-25: Proposal accepted.
2022-06-15: Implementation planning.
2022-06-30: Platform successfully deployed."
0060000000000087,"Everest Dynamics - 150 Instructor Licenses",0010000000000018,"Closed Won","2022-12-15",150000,"New Business",100,"2022-09-20: License requirements discussion.
2022-10-10: User needs assessment.
2022-10-30: Pricing proposal submitted.
2022-11-20: Contract finalized.
2022-12-15: Licenses activated."
0060000000000088,"Everest Dynamics - Virtual Classroom Module",0010000000000018,"Closed Lost","2023-07-20",130000,"New Business",0,"2023-04-15: Initial requirements gathering.
2023-05-05: Module demonstration and evaluation.
2023-05-25: Technical assessment period.
2023-06-15: Performance concerns identified.
2023-07-05: Attempted to address technical issues.
2023-07-20: Lost due to performance limitations for large-scale virtual classrooms."
0060000000000089,"Everest Dynamics - 75 Licenses ADD",0010000000000018,"Closed Won","2024-01-20",75000,"Expansion",100,"2023-11-10: Request for additional licenses.
2023-11-30: User requirements confirmed.
2023-12-20: Proposal submitted and accepted.
2024-01-20: Additional licenses implemented."
0060000000000090,"Everest Dynamics - Gamified Learning Experience",0010000000000018,"Value Proposition","2025-06-30",195000,"New Business",50,"2025-03-15: Initial discussion about gamification.
2025-04-05: Preliminary concept presentation.
2025-04-25: User experience workshops.
2025-05-15: Currently developing detailed value proposition."
0060000000000091,"BlueWave Group - Smart Grid Management",0010000000000019,"Closed Won","2022-08-15",185000,"New Business",100,"2022-05-10: Initial meeting with grid operations team.
2022-05-30: Requirements gathering sessions.
2022-06-20: System demonstration and evaluation.
2022-07-10: Proposal accepted.
2022-07-30: Implementation planning.
2022-08-15: System successfully deployed."
0060000000000092,"BlueWave Group - 70 Operator Licenses",0010000000000019,"Closed Won","2023-02-20",105000,"New Business",100,"2022-11-25: License requirements discussion.
2022-12-15: User needs assessment.
2023-01-10: Pricing proposal submitted.
2023-02-05: Contract finalized.
2023-02-20: Licenses activated."
